intitule_prod;prix_ht;prix_ttc;description_prod;lien_image_prod;publication_prod;stock_prod;moyenne_note_prod;seuil_alerte_prod;alerte_prod;code_sous_cat
133;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
134;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
134;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
135;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
135;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
136;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
136;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
137;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
137;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
138;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
138;10;15;Carottes mures et bien juteuses provenant de la provance excellent légume typiquement francais. Provenance: gouadeloupe;https://www.cdiscount.com/pdt2/3/0/1/1/700x700/auc1280000011013/rw/fraise.jpg;true;10; 4.5;5;true;vins
